split,tile_id,dataset,biome,image_path,dsm_path,width,height,crs
train,6_14,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_6_14_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_06_14.tif,6000,6000,EPSG:32633
train,6_15,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_6_15_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_06_15.tif,6000,6000,EPSG:32633
train,6_7,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_6_7_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_06_07.tif,6000,6000,EPSG:32633
train,6_9,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_6_9_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_06_09.tif,6000,6000,EPSG:32633
train,7_10,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_7_10_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_07_10.tif,6000,6000,EPSG:32633
train,7_12,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_7_12_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_07_12.tif,6000,6000,EPSG:32633
train,7_13,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_7_13_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_07_13.tif,6000,6000,EPSG:32633
train,7_7,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_7_7_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_07_07.tif,6000,6000,EPSG:32633
train,7_8,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_7_8_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_07_08.tif,6000,6000,EPSG:32633
train,7_9,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_7_9_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_07_09.tif,6000,6000,EPSG:32633
validation,2_12,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_2_12_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_02_12.tif,6000,6000,EPSG:32633
validation,3_11,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_3_11_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_03_11.tif,6000,6000,EPSG:32633
validation,5_15,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_5_15_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_05_15.tif,6000,6000,EPSG:32633
validation,6_13,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_6_13_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_06_13.tif,6000,6000,EPSG:32633
validation,6_8,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_6_8_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_06_08.tif,6000,6000,EPSG:32633
validation,7_11,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_7_11_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_07_11.tif,6000,6000,EPSG:32633
test,2_11,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_2_11_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_02_11.tif,6000,6000,EPSG:32633
test,3_12,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_3_12_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_03_12.tif,6000,6000,EPSG:32633
test,3_13,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_3_13_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_03_13.tif,6000,6000,EPSG:32633
test,4_14,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_4_14_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_04_14.tif,6000,6000,EPSG:32633
test,4_15,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_4_15_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_04_15.tif,6000,6000,EPSG:32633
test,5_11,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_5_11_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_05_11.tif,6000,6000,EPSG:32633
